Rack ID,Sample Number,Batch Number,Number Destinations,Total Samples In Batch
025DNA0002560,2,36,1,77
025DNA0002534,3,36,1,77
025DNA0002536,3,36,1,77
025DNA0002539,3,36,1,77
025DNA0002545,4,36,1,77
025DNA0002563,4,36,1,77
025DNA0002389,5,36,1,77
025DNA0002395,5,36,1,77
025DNA0002521,6,36,1,77
025DNA0002418,7,36,1,77
025DNA0002093,8,36,1,77
025DNA0002552,9,36,1,77
025DNA0002574,9,36,1,77

025DNA0002645,1,37,1,77
025DNA0002647,1,37,1,77
025DNA0002650,1,37,1,77
025DNA0002565,2,37,1,77
025DNA0002586,2,37,1,77
025DNA0002595,2,37,1,77
025DNA0002597,2,37,1,77
025DNA0002548,3,37,1,77
025DNA0002575,3,37,1,77
025DNA0002576,3,37,1,77
025DNA0002568,4,37,1,77
025DNA0002573,4,37,1,77
025DNA0002407,5,37,1,77
025DNA0002470,5,37,1,77
025DNA0002541,6,37,1,77
025DNA0002466,7,37,1,77
025DNA0002369,8,37,1,77
025DNA0002678,9,37,1,77
025DNA0002712,9,37,1,77

025DNA0002651,1,38,1,75
025DNA0002652,1,38,1,75
025DNA0002657,1,38,1,75
025DNA0002605,2,38,1,75
025DNA0002607,2,38,1,75
025DNA0002610,2,38,1,75
025DNA0002613,2,38,1,75
025DNA0002585,3,38,1,75
025DNA0002601,3,38,1,75
025DNA0002612,3,38,1,75
025DNA0002593,4,38,1,75
025DNA0002629,4,38,1,75
025DNA0002516,5,38,1,75
025DNA0002537,5,38,1,75
025DNA0002549,6,38,1,75
025DNA0002626,7,38,1,75
025DNA0002682,7,38,1,75
025DNA0002371,8,38,1,75
025DNA0002719,9,38,1,75

025DNA0002660,1,39,1,73
025DNA0002668,1,39,1,73
025DNA0002670,1,39,1,73
025DNA0002615,2,39,1,73
025DNA0002630,2,39,1,73
025DNA0002631,2,39,1,73
025DNA0002634,2,39,1,73
025DNA0002617,3,39,1,73
025DNA0002618,3,39,1,73
025DNA0002656,3,39,1,73
025DNA0002659,4,39,1,73
025DNA0002673,4,39,1,73
025DNA0002547,5,39,1,73
025DNA0002558,5,39,1,73
025DNA0002554,6,39,1,73
025DNA0002555,6,39,1,73
025DNA0002685,7,39,1,73
025DNA0002462,8,39,1,73
025DNA0002594,8,39,1,73

025DNA0002691,1,40,1,71
025DNA0002692,1,40,1,71
025DNA0002695,1,40,1,71
025DNA0002653,2,40,1,71
025DNA0002654,2,40,1,71
025DNA0002664,2,40,1,71
025DNA0002683,2,40,1,71
025DNA0002669,3,40,1,71
025DNA0002672,3,40,1,71
025DNA0002675,3,40,1,71
025DNA0002674,4,40,1,71
025DNA0002688,4,40,1,71
025DNA0002559,5,40,1,71
025DNA0002598,5,40,1,71
025DNA0002561,6,40,1,71
025DNA0002646,6,40,1,71
025DNA0002662,6,40,1,71
025DNA0002694,7,40,1,71
025DNA0002750,8,40,1,71

025DNA0002702,1,41,1,63
